problem_index,Anytime 1.25-A*,Anytime 1.5-A*,Anytime 2-A*,Anytime A*,initial_heuristic
"2,7,3,0,5,6,8,4,1",19.0,21.0,21.0,19.0,11.0
"2,7,4,8,3,1,6,0,5",21.0,21.0,27.0,21.0,19.0
"2,7,5,4,8,6,0,1,3",24.0,24.0,24.0,24.0,12.0
"2,7,5,6,0,8,4,3,1",24.0,24.0,24.0,24.0,18.0
"2,7,5,8,0,4,1,6,3",20.0,20.0,22.0,20.0,16.0
"2,7,6,4,1,0,3,5,8",23.0,23.0,23.0,23.0,13.0
"2,7,8,3,5,6,1,0,4",25.0,25.0,25.0,23.0,15.0
"2,8,1,0,4,6,3,5,7",23.0,,25.0,,13.0
"2,8,1,3,7,6,4,0,5",19.0,19.0,19.0,19.0,13.0
"2,8,1,7,3,0,6,5,4",21.0,25.0,25.0,21.0,15.0
"2,8,5,0,4,3,6,1,7",19.0,19.0,21.0,19.0,15.0
"2,8,5,3,0,6,7,4,1",24.0,24.0,24.0,24.0,14.0
"2,8,6,0,5,4,7,1,3",25.0,27.0,27.0,25.0,11.0
"3,0,1,8,4,7,5,2,6",27.0,27.0,29.0,27.0,15.0
"3,0,4,5,1,7,6,8,2",27.0,27.0,31.0,27.0,17.0
"3,0,5,8,6,4,2,1,7",23.0,25.0,29.0,23.0,17.0
"3,1,2,6,0,5,8,7,4",24.0,24.0,24.0,24.0,12.0
"3,1,2,6,5,8,7,4,0",22.0,22.0,22.0,22.0,10.0
"3,1,5,8,6,7,2,0,4",21.0,23.0,23.0,21.0,17.0
"3,1,8,5,4,0,2,6,7",27.0,27.0,27.0,25.0,15.0
"3,1,8,6,2,0,5,7,4",27.0,27.0,31.0,27.0,15.0
"3,1,8,7,0,5,2,6,4",24.0,24.0,24.0,,16.0
"3,2,1,5,8,0,6,4,7",23.0,23.0,27.0,23.0,13.0
"3,2,4,6,5,1,8,0,7",27.0,29.0,29.0,27.0,13.0
"3,2,6,0,8,5,1,4,7",17.0,17.0,17.0,17.0,11.0
"3,2,7,8,1,0,5,4,6",25.0,25.0,25.0,25.0,15.0
"3,2,8,4,0,5,7,1,6",20.0,20.0,20.0,20.0,10.0
"3,4,2,0,6,8,7,1,5",19.0,19.0,19.0,19.0,13.0
"3,4,2,5,6,0,8,7,1",25.0,27.0,27.0,25.0,13.0
"3,4,2,8,5,1,6,7,0",28.0,28.0,28.0,26.0,14.0
"3,4,6,7,2,5,0,1,8",18.0,18.0,18.0,18.0,12.0
"3,4,7,1,0,6,5,8,2",20.0,20.0,20.0,20.0,14.0
"3,5,0,6,4,7,2,8,1",26.0,28.0,28.0,26.0,16.0
"3,5,2,1,0,7,6,8,4",24.0,24.0,24.0,24.0,14.0
"3,5,2,8,4,0,6,1,7",25.0,25.0,29.0,25.0,15.0
"3,5,6,4,2,0,8,7,1",23.0,23.0,23.0,23.0,11.0
"3,5,8,2,7,1,4,6,0",18.0,18.0,18.0,18.0,16.0
"3,6,1,2,4,5,7,0,8",19.0,19.0,19.0,19.0,11.0
"3,6,1,5,7,2,0,4,8",20.0,20.0,20.0,20.0,14.0
"3,6,2,4,1,0,7,8,5",19.0,19.0,19.0,19.0,9.0
"3,6,5,0,7,4,2,8,1",25.0,25.0,29.0,23.0,17.0
"3,6,7,1,8,0,2,5,4",21.0,21.0,21.0,21.0,17.0
"3,6,7,4,1,2,0,5,8",22.0,22.0,22.0,22.0,14.0
"3,7,4,6,1,2,0,5,8",22.0,22.0,22.0,22.0,16.0
"3,7,5,4,0,1,2,6,8",24.0,24.0,24.0,24.0,16.0
"3,8,1,2,5,6,4,7,0",20.0,20.0,24.0,20.0,10.0
"3,8,2,0,7,6,1,4,5",19.0,19.0,19.0,19.0,13.0
"3,8,4,6,2,5,7,1,0",26.0,26.0,26.0,26.0,14.0
"3,8,5,6,1,2,4,7,0",24.0,24.0,28.0,24.0,14.0
"3,8,6,7,4,5,0,1,2",22.0,22.0,22.0,22.0,14.0
"4,0,5,1,8,2,3,6,7",25.0,27.0,29.0,25.0,15.0
"4,0,6,2,3,8,5,7,1",19.0,21.0,21.0,19.0,15.0
"4,0,6,5,7,8,1,2,3",25.0,25.0,25.0,25.0,13.0
"4,0,7,1,6,2,8,5,3",19.0,19.0,21.0,19.0,13.0
"4,1,0,8,2,3,7,5,6",16.0,16.0,16.0,16.0,8.0
"4,1,3,2,8,6,5,0,7",17.0,17.0,19.0,17.0,9.0
"4,1,5,3,7,8,2,6,0",20.0,20.0,20.0,20.0,16.0
"4,1,6,0,2,7,3,5,8",21.0,21.0,23.0,21.0,13.0
"4,1,7,2,0,8,5,6,3",24.0,24.0,24.0,24.0,16.0
"4,1,7,3,5,2,8,0,6",19.0,19.0,21.0,19.0,13.0
"4,2,1,6,8,0,7,5,3",19.0,19.0,23.0,19.0,9.0
"4,2,1,8,5,0,3,7,6",19.0,19.0,19.0,19.0,11.0
"4,2,3,7,1,5,0,6,8",18.0,18.0,22.0,18.0,8.0
"4,2,5,0,3,6,7,8,1",21.0,21.0,21.0,21.0,9.0
"4,3,1,5,6,8,7,2,0",16.0,16.0,16.0,16.0,10.0
"4,3,5,1,7,6,0,2,8",16.0,16.0,16.0,16.0,10.0
"4,3,6,5,7,0,8,1,2",21.0,21.0,25.0,21.0,13.0
"4,3,8,6,2,1,5,7,0",22.0,22.0,22.0,22.0,14.0
"4,5,0,6,8,1,3,2,7",24.0,24.0,24.0,24.0,16.0
"4,5,2,1,0,6,8,3,7",22.0,22.0,22.0,22.0,10.0
"4,5,8,7,0,2,6,1,3",22.0,22.0,24.0,22.0,16.0
"4,6,1,5,0,7,8,3,2",20.0,20.0,20.0,20.0,16.0
"4,6,2,1,8,0,3,7,5",19.0,19.0,19.0,19.0,13.0
"4,6,5,3,2,1,0,8,7",26.0,26.0,26.0,26.0,14.0
"4,6,8,2,7,1,3,5,0",22.0,22.0,22.0,22.0,18.0
"4,7,0,5,1,3,2,6,8",22.0,22.0,22.0,22.0,14.0
"4,7,2,1,3,0,8,6,5",15.0,15.0,15.0,15.0,13.0
"4,7,5,1,2,3,8,6,0",18.0,18.0,22.0,18.0,12.0
"4,7,6,5,1,3,2,8,0",22.0,22.0,22.0,22.0,12.0
"4,7,8,0,1,3,6,2,5",23.0,23.0,25.0,23.0,17.0
"4,7,8,6,2,1,3,5,0",28.0,30.0,30.0,28.0,18.0
"4,7,8,6,5,2,0,3,1",28.0,28.0,32.0,28.0,18.0
"4,8,3,5,2,6,7,0,1",21.0,21.0,23.0,21.0,9.0
"4,8,7,0,2,6,1,3,5",27.0,27.0,27.0,27.0,15.0
"4,8,7,2,6,5,1,3,0",26.0,26.0,26.0,26.0,16.0
"4,8,7,5,0,1,3,2,6",26.0,26.0,26.0,26.0,18.0
"5,0,1,3,2,7,6,4,8",25.0,27.0,29.0,25.0,17.0
"5,0,1,4,6,3,2,8,7",21.0,21.0,23.0,21.0,11.0
"5,0,4,3,7,2,8,6,1",23.0,23.0,27.0,23.0,19.0
"5,0,8,4,7,1,2,6,3",21.0,21.0,21.0,21.0,17.0
"5,1,2,3,4,6,7,0,8",17.0,19.0,19.0,17.0,9.0
"5,1,2,8,6,0,4,7,3",17.0,17.0,19.0,17.0,11.0
"5,1,3,0,2,8,6,7,4",17.0,17.0,19.0,17.0,13.0
"5,1,4,3,7,2,8,6,0",22.0,22.0,22.0,22.0,16.0
"5,1,4,6,2,8,3,7,0",26.0,26.0,28.0,26.0,16.0
"5,1,6,8,7,4,2,3,0",26.0,26.0,30.0,26.0,16.0
"5,1,7,8,0,3,6,4,2",24.0,24.0,26.0,24.0,18.0
"5,1,8,3,0,4,7,6,2",20.0,20.0,26.0,20.0,16.0
"5,2,6,4,0,7,3,8,1",24.0,24.0,26.0,24.0,14.0
"5,2,7,4,0,8,6,1,3",22.0,22.0,22.0,22.0,16.0
"5,2,7,4,3,0,1,6,8",23.0,23.0,23.0,23.0,13.0
"5,2,7,8,3,1,4,6,0",24.0,24.0,24.0,24.0,16.0
"5,2,8,4,7,0,3,1,6",25.0,25.0,27.0,25.0,15.0
"5,2,8,6,1,0,4,3,7",17.0,17.0,17.0,17.0,15.0
"5,3,0,4,1,8,7,6,2",16.0,16.0,18.0,16.0,12.0
"5,4,3,1,0,6,8,2,7",20.0,20.0,22.0,20.0,10.0
"5,4,8,0,2,7,6,1,3",25.0,25.0,25.0,25.0,19.0
"5,6,0,3,1,8,4,2,7",16.0,16.0,16.0,16.0,16.0
"5,6,0,3,1,8,7,4,2",20.0,20.0,20.0,20.0,16.0
"5,6,4,7,0,8,3,2,1",24.0,24.0,24.0,24.0,20.0
"5,6,7,4,8,1,2,0,3",25.0,25.0,25.0,25.0,17.0
"5,7,1,4,2,3,0,8,6",16.0,16.0,16.0,16.0,10.0
"5,7,6,0,2,3,4,1,8",23.0,23.0,23.0,23.0,13.0
"5,8,1,3,2,4,7,6,0",24.0,24.0,26.0,24.0,14.0
"5,8,4,6,3,0,1,2,7",23.0,25.0,27.0,23.0,17.0
"6,0,1,3,5,7,4,8,2",21.0,21.0,25.0,21.0,15.0
"6,0,3,1,7,8,5,4,2",23.0,23.0,23.0,23.0,15.0
"6,0,4,2,3,8,1,7,5",17.0,17.0,23.0,17.0,17.0
"6,0,4,5,7,2,1,8,3",19.0,19.0,19.0,19.0,15.0
"6,0,7,2,3,4,1,8,5",25.0,25.0,27.0,25.0,17.0
"6,1,2,3,4,0,7,5,8",17.0,17.0,17.0,17.0,11.0
"6,1,2,7,5,8,0,3,4",22.0,22.0,22.0,22.0,14.0
"6,1,2,8,3,4,7,5,0",20.0,20.0,20.0,20.0,12.0
"6,1,8,5,4,3,2,7,0",24.0,26.0,28.0,24.0,14.0
"6,2,1,0,4,5,3,7,8",23.0,23.0,23.0,23.0,13.0
"6,2,4,5,1,3,7,0,8",23.0,23.0,25.0,23.0,11.0
"6,2,8,0,7,4,1,5,3",23.0,23.0,27.0,23.0,15.0
"6,3,0,4,7,1,5,8,2",22.0,22.0,22.0,22.0,14.0
"6,3,1,4,8,5,2,7,0",20.0,20.0,20.0,20.0,12.0
"6,3,2,8,0,7,4,1,5",26.0,26.0,26.0,26.0,16.0
"6,3,4,7,0,5,2,8,1",26.0,26.0,30.0,26.0,16.0
"6,3,5,1,8,4,2,0,7",25.0,27.0,25.0,25.0,15.0
"6,4,1,7,2,0,8,5,3",19.0,19.0,19.0,19.0,13.0
"6,4,2,0,7,3,8,5,1",23.0,23.0,23.0,23.0,15.0
"6,4,3,2,0,1,7,5,8",16.0,16.0,16.0,16.0,12.0
"6,4,5,0,1,7,3,2,8",25.0,25.0,29.0,25.0,19.0
"6,4,5,8,2,7,1,3,0",26.0,28.0,26.0,26.0,18.0
"6,4,7,2,8,5,1,0,3",25.0,25.0,25.0,23.0,17.0
"6,4,8,5,2,1,7,3,0",24.0,24.0,26.0,24.0,16.0
"6,7,0,3,4,5,2,8,1",24.0,28.0,28.0,24.0,18.0
"6,7,4,3,5,8,2,0,1",25.0,27.0,33.0,25.0,21.0
"6,7,5,1,0,3,2,8,4",24.0,24.0,28.0,24.0,16.0
"6,7,8,5,0,3,1,4,2",26.0,26.0,30.0,26.0,18.0
"6,8,4,2,7,3,0,5,1",28.0,28.0,28.0,28.0,18.0
"7,0,1,8,5,4,6,2,3",23.0,23.0,27.0,23.0,15.0
"7,0,4,1,5,3,8,2,6",15.0,15.0,15.0,15.0,11.0
"7,0,4,1,6,5,2,3,8",21.0,21.0,21.0,21.0,15.0
"7,0,5,6,1,3,8,4,2",23.0,23.0,23.0,23.0,15.0
"7,0,5,6,8,3,4,1,2",27.0,27.0,31.0,27.0,15.0
"7,0,8,4,2,1,3,5,6",27.0,27.0,31.0,27.0,15.0
"7,0,8,6,4,5,1,3,2",25.0,29.0,29.0,25.0,17.0
"7,1,0,8,3,6,2,5,4",24.0,24.0,24.0,24.0,14.0
"7,1,2,5,8,6,4,3,0",18.0,18.0,18.0,18.0,10.0
"7,1,4,6,0,2,3,8,5",20.0,20.0,26.0,20.0,16.0
"7,1,5,0,4,2,3,8,6",17.0,17.0,17.0,17.0,13.0
"7,1,5,8,4,2,6,0,3",15.0,15.0,15.0,15.0,15.0
"7,1,6,3,4,8,2,5,0",18.0,20.0,20.0,18.0,14.0
"7,2,3,4,1,6,5,8,0",16.0,16.0,16.0,16.0,6.0
"7,2,4,1,6,8,5,0,3",21.0,21.0,23.0,21.0,13.0
"7,2,4,6,5,0,8,1,3",23.0,23.0,23.0,23.0,13.0
"7,2,8,1,4,6,0,5,3",24.0,24.0,26.0,24.0,10.0
"7,3,4,5,0,2,6,1,8",20.0,20.0,20.0,20.0,16.0
"7,3,6,0,2,4,1,5,8",19.0,19.0,19.0,19.0,11.0
"7,3,6,1,4,8,5,2,0",16.0,16.0,16.0,16.0,12.0
"7,4,0,2,6,1,5,3,8",20.0,20.0,22.0,20.0,16.0
"7,4,6,3,1,2,8,5,0",22.0,24.0,26.0,22.0,14.0
"7,4,8,6,5,1,3,2,0",24.0,24.0,24.0,24.0,18.0
"7,5,1,6,3,0,4,8,2",23.0,23.0,23.0,23.0,13.0
"7,5,2,4,0,3,1,6,8",22.0,24.0,24.0,22.0,10.0
"7,5,2,6,0,4,3,8,1",26.0,26.0,30.0,26.0,16.0
"7,5,3,8,6,4,2,1,0",24.0,24.0,26.0,24.0,14.0
"7,5,4,6,0,8,1,3,2",26.0,28.0,30.0,26.0,18.0
"7,5,4,8,1,6,3,0,2",23.0,23.0,23.0,23.0,17.0
"7,5,6,0,3,1,8,2,4",21.0,21.0,25.0,21.0,15.0
"7,5,8,0,2,4,1,3,6",27.0,27.0,29.0,27.0,15.0
"7,6,0,8,4,3,2,1,5",24.0,26.0,26.0,24.0,16.0
"7,6,2,3,8,4,5,0,1",23.0,25.0,25.0,23.0,17.0
"7,6,3,0,4,1,5,2,8",21.0,21.0,21.0,21.0,13.0
"7,6,8,5,0,1,3,4,2",26.0,26.0,26.0,26.0,20.0
"7,8,1,6,0,4,5,2,3",24.0,26.0,26.0,24.0,16.0
"7,8,2,4,5,3,1,0,6",21.0,21.0,21.0,21.0,9.0
"7,8,5,6,2,4,3,1,0",28.0,32.0,30.0,28.0,18.0
"8,0,6,5,4,2,3,7,1",27.0,29.0,29.0,27.0,17.0
"8,1,2,6,0,5,3,4,7",22.0,22.0,26.0,22.0,16.0
"8,1,4,6,2,5,0,7,3",22.0,22.0,24.0,22.0,14.0
"8,2,3,7,4,1,5,6,0",22.0,22.0,22.0,22.0,12.0
"8,2,5,6,4,7,0,1,3",24.0,26.0,26.0,24.0,16.0
"8,2,7,1,0,5,3,6,4",28.0,28.0,28.0,28.0,18.0
"8,2,7,1,6,4,5,0,3",23.0,23.0,23.0,23.0,15.0
"8,3,4,5,1,7,6,0,2",25.0,27.0,29.0,25.0,19.0
"8,4,0,3,6,5,1,7,2",22.0,22.0,28.0,22.0,16.0
"8,4,2,0,5,6,1,7,3",19.0,19.0,19.0,19.0,11.0
"8,4,5,0,7,1,3,2,6",21.0,25.0,25.0,21.0,19.0
"8,4,5,3,1,7,6,0,2",23.0,27.0,27.0,23.0,21.0
"8,4,6,2,5,0,3,1,7",27.0,27.0,27.0,27.0,17.0
"8,5,0,4,7,6,1,3,2",26.0,28.0,28.0,26.0,14.0
"8,5,3,4,7,6,1,2,0",26.0,26.0,26.0,26.0,10.0
"8,6,3,0,5,7,2,4,1",25.0,27.0,27.0,25.0,17.0
"8,7,2,6,4,3,0,5,1",24.0,26.0,26.0,24.0,16.0
"8,7,3,4,6,5,1,0,2",25.0,25.0,25.0,25.0,13.0
"8,7,5,0,2,3,6,4,1",27.0,27.0,27.0,25.0,19.0
"5,1,2,6,0,3,8,4,7",18.0,18.0,18.0,18.0,
"5,3,4,0,8,1,7,2,6",23.0,23.0,23.0,23.0,
"6,7,4,5,3,0,1,2,8",23.0,25.0,27.0,23.0,
"8,3,4,1,7,5,6,2,0",22.0,24.0,24.0,22.0,
"5,3,8,2,7,1,6,4,0",24.0,24.0,26.0,24.0,
"7,8,4,2,3,5,0,1,6",24.0,26.0,26.0,24.0,
"6,8,3,4,5,7,2,1,0",24.0,24.0,24.0,24.0,
"5,0,3,1,4,7,8,6,2",21.0,23.0,25.0,21.0,
"1,4,8,5,3,6,0,7,2",26.0,26.0,26.0,26.0,
"8,6,3,0,2,4,5,7,1",27.0,29.0,29.0,27.0,
"5,1,4,8,6,2,0,3,7",24.0,24.0,24.0,24.0,16.0
"8,7,2,5,1,4,3,0,6",25.0,25.0,25.0,25.0,17.0
"2,0,4,1,3,8,6,7,5",19.0,19.0,19.0,19.0,15.0
"3,5,1,2,0,7,8,6,4",20.0,20.0,26.0,20.0,16.0
"6,4,2,7,8,1,0,5,3",18.0,18.0,18.0,18.0,14.0
"5,3,7,0,2,6,4,1,8",19.0,19.0,19.0,19.0,13.0
"1,5,7,4,8,2,3,0,6",23.0,23.0,23.0,23.0,13.0
"2,0,7,4,3,8,6,1,5",21.0,23.0,23.0,21.0,17.0
"3,7,4,2,6,5,0,8,1",26.0,28.0,30.0,26.0,16.0
"2,7,6,4,3,0,1,8,5",23.0,23.0,23.0,23.0,11.0
"1,6,2,0,3,8,7,5,4",15.0,15.0,15.0,15.0,11.0
"2,3,8,0,7,6,1,4,5",15.0,15.0,15.0,15.0,13.0
"5,0,4,8,1,7,6,3,2",,25.0,,,21.0
"3,5,1,0,6,2,7,4,8",,,23.0,,11.0
